Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Total SF,Total Bathrooms,House Age,Years Since Remodel,Has Pool
382,527359050,20,RL,80.0,10400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,189.0,3,3,CBlock,4,3,1,1,0.0,1,0.0,1090.0,GasA,3,Y,SBrkr,0,1370,3,1,3,6,Typ,1,3,Attchd,1976.0,RFn,2.0,479.0,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,6,2009,WD ,Family,11.931642378754141,2460.0,2.0,33,33,0
835,906475070,60,RL,,28698,Pave,None,IR2,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,2Story,5,5,Flat,Tar&Grv,Plywood,Plywood,None,0.0,3,3,PConc,3,4,4,2,249.0,5,764.0,0.0,GasA,3,Y,SBrkr,0,2126,3,1,3,7,Min2,0,0,Attchd,1967.0,Fin,2.0,538.0,3,3,Y,486,0,0,0,225,0,0,None,None,0,6,2009,WD ,Abnorml,12.128116509451258,3139.0,3.0,42,42,0
1899,534429030,90,RL,70.0,9842,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,Slab,0,0,0,0,0.0,0,0.0,0.0,GasA,3,Y,SBrkr,0,1224,2,2,3,6,Typ,0,0,CarPort,1962.0,Unf,2.0,462.0,3,3,Y,0,0,0,0,0,0,0,None,None,0,3,2007,WD ,Normal,11.530775206233024,1224.0,2.0,45,45,0
679,535451170,90,RL,60.0,7200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,BrkFace,Stone,None,0.0,3,3,Slab,0,0,0,0,0.0,0,0.0,0.0,Wall,2,N,FuseF,0,1040,2,2,3,6,Typ,0,0,Detchd,1956.0,Unf,2.0,420.0,3,3,Y,0,0,0,0,0,0,0,None,None,0,6,2009,WD ,Normal,11.407576060361786,1040.0,2.0,60,59,0
701,902109130,190,RM,63.0,7627,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,2fmCon,2Story,4,6,Gable,CompShg,AsbShng,AsbShng,None,0.0,2,3,BrkTil,2,1,1,1,0.0,1,0.0,600.0,GasA,4,N,SBrkr,0,1701,4,2,2,8,Typ,0,0,None,1920.0,None,0.0,0.0,0,0,N,0,0,148,0,0,0,0,None,None,0,10,2009,WD ,Normal,11.45689465044527,2301.0,2.0,89,59,0
2074,905352180,60,RL,97.0,10029,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,268.0,4,3,PConc,4,3,1,6,831.0,1,0.0,320.0,GasA,3,Y,SBrkr,0,2060,4,1,3,8,Typ,1,3,Attchd,1988.0,Unf,2.0,521.0,3,3,Y,0,228,0,0,192,0,0,None,None,0,9,2007,WD ,Normal,12.259618151783465,3211.0,3.0,19,18,0
2444,528315070,60,RL,84.0,9660,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,242.0,4,3,PConc,4,3,1,6,791.0,1,0.0,253.0,GasA,5,Y,SBrkr,0,1976,3,1,4,7,Typ,1,5,Attchd,1998.0,Fin,3.0,885.0,3,3,Y,210,31,0,0,0,0,0,None,None,0,2,2006,WD ,Normal,12.563750586299374,3020.0,3.5,8,8,0
2584,535303050,20,RL,75.0,11310,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,Wd Sdng,BrkFace,None,0.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,1367.0,GasA,5,Y,SBrkr,0,1375,2,1,3,5,Typ,1,3,Attchd,1954.0,Unf,2.0,451.0,3,3,Y,0,30,0,0,0,0,0,None,None,0,6,2006,WD ,Normal,11.849404844423074,2742.0,1.0,52,52,0
1916,535126180,60,RL,,18450,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,5,Flat,Tar&Grv,Plywood,Plywood,BrkCmn,113.0,3,4,CBlock,4,3,1,2,187.0,3,723.0,111.0,GasA,3,Y,SBrkr,0,2380,3,1,3,7,Sev,1,1,CarPort,1965.0,Unf,2.0,596.0,3,3,Y,0,265,0,0,0,0,0,None,None,0,8,2007,WD ,Abnorml,11.767575435251748,3401.0,2.5,42,28,0
880,907410130,20,RL,85.0,10200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,4,3,PConc,4,3,3,6,1478.0,1,0.0,100.0,GasA,5,Y,SBrkr,0,1602,3,1,4,7,Typ,1,4,Attchd,2007.0,RFn,3.0,810.0,3,3,Y,0,48,0,0,195,0,0,None,None,0,1,2009,WD ,Normal,12.588613659630019,3180.0,3.0,2,2,0
